Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Gruen,Pattern Matching,isis/src/base/objs/Gruen/Gruen.h,src/base/bind_base_pattern.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-10 已在 src/base/bind_base_pattern.cpp 完成构造函数及主要约束访问器绑定；GruenTypes-specific 方法（AffineRadio/AffineTolerance）未暴露

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Gruen,isis_pybind.Gruen,Y,Exported in python/isis_pybind/__init__.py
Construction/Enum,Gruen(Pvl &pvl),isis_pybind.Gruen(pvl: Pvl),Y,Default-arg constructor not separately exposed; use Pvl-based ctor
Construction/Enum,Gruen(),N,Default constructor not exposed; direct construction without PVL not useful in Python
Read/Write IO,void WriteSubsearchChips(const QString &pattern),isis_pybind.Gruen.write_subsearch_chips,N,File I/O; not exposed
Public API,AffineTolerance getAffineTolerance() const,isis_pybind.Gruen.get_affine_tolerance,N,AffineTolerance type not exposed; use get_affine_constraint for scalar
Public API,inline double getSpiceConstraint() const,isis_pybind.Gruen.get_spice_constraint,Y,Returns float
Public API,inline double getAffineConstraint() const,isis_pybind.Gruen.get_affine_constraint,Y,Returns float
Mutation/Configuration,void setAffineRadio(const AffineRadio &affrad),isis_pybind.Gruen.set_affine_radio,N,AffineRadio type not exposed
Mutation/Configuration,void setAffineRadio(),N,Resets to default; not exposed
Public API,const AffineRadio &getDefaultAffineRadio() const,isis_pybind.Gruen.get_default_affine_radio,N,AffineRadio type not exposed
Public API,const AffineRadio &getAffineRadio() const,isis_pybind.Gruen.get_affine_radio,N,AffineRadio type not exposed
Public API,BigInt CallCount() const,isis_pybind.Gruen.call_count,N,Inherited from AutoReg; BigInt not directly exposed
Public API,MatchPoint getLastMatch() const,N,GruenTypes::MatchPoint not exposed
Public API,virtual QString AlgorithmName() const,isis_pybind.Gruen.algorithm_name,Y,Inherited from AutoReg
Public API,virtual double IdealFit() const,isis_pybind.Gruen.ideal_fit,Y,Returns 0.0 via lambda
