Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Mollweide,Map Projection,isis/src/base/objs/Mollweide/Mollweide.h,src/base/bind_base_projection_types.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-12 完成全部公开方法绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Mollweide,isis_pybind.Mollweide,Y,Exposed with full method suite
Construction/Enum,Mollweide(),isis_pybind.Mollweide(),Y,Constructor with label and allow_defaults
Public API,QString Name() const,isis_pybind.Mollweide.name,Y,Returns projection name
Public API,QString Version() const,isis_pybind.Mollweide.version,Y,Returns version string
Public API,"bool newton_rapheson(double gamma, double &result)",isis_pybind.Mollweide.newton_rapheson,N,Method not found in current binding files
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.Mollweide.set_ground,Y,Forward projection to x/y via lambda-wrapped overrides
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.Mollweide.set_coordinate,Y,Inverse projection x/y to lat/lon (or ringRadius/ringLongitude)
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.Mollweide.xy_range,Y,Returns tuple (minX maxX minY maxY) from lambda wrapper
Public API,PvlGroup Mapping(),isis_pybind.Mollweide.mapping,Y,Returns mapping group PvlGroup
Public API,PvlGroup MappingLatitudes(),isis_pybind.Mollweide.mapping_latitudes,Y,Returns latitude keywords PvlGroup
Public API,PvlGroup MappingLongitudes(),isis_pybind.Mollweide.mapping_longitudes,Y,Returns longitude keywords PvlGroup
