Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlTranslationTable,Parsing,reference/upstream_isis/src/base/objs/PvlTranslationTable/PvlTranslationTable.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_pvl.cpp 完成绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlTranslationTable,isis_pybind.PvlTranslationTable,Y,Exposed as py::class_<Isis::PvlTranslationTable>
Construction/Enum,PvlTranslationTable(std::istream &),isis_pybind.PvlTranslationTable(table_text),Y,Wraps std::istream with std::istringstream; accepts Python str
Public API,"void AddTable(std::istream &)",isis_pybind.PvlTranslationTable.add_table,Y,Accepts PVL text string (auto-detected by '=' or 'Group')
Public API,void AddTable(const QString &file),isis_pybind.PvlTranslationTable.add_table,Y,Accepts file path (auto-detected)
Public API,"virtual PvlKeyword InputGroup(const QString, int inst=0) const",isis_pybind.PvlTranslationTable.input_group,Y,Returns PvlKeyword
Public API,virtual QString InputKeywordName(const QString) const,isis_pybind.PvlTranslationTable.input_keyword_name,Y,Returns str
Public API,QString InputDefault(const QString) const,isis_pybind.PvlTranslationTable.input_default,Y,Returns str
Public API,"QString Translate(const QString, const QString) const",isis_pybind.PvlTranslationTable.translate,Y,Returns str
Public API,bool hasInputDefault(const QString),isis_pybind.PvlTranslationTable.has_input_default,Y,Returns bool
Public API,bool IsAuto(const QString),isis_pybind.PvlTranslationTable.is_auto,Y,Returns bool
Public API,bool IsOptional(const QString),isis_pybind.PvlTranslationTable.is_optional,Y,Returns bool
Public API,PvlKeyword OutputPosition(const QString),isis_pybind.PvlTranslationTable.output_position,Y,Returns PvlKeyword
Public API,QString OutputName(const QString),isis_pybind.PvlTranslationTable.output_name,Y,Returns str
Public API,const PvlGroup &findTranslationGroup(const QString) const,N,Returns PvlGroup const ref; complex lifecycle; Python can use input_group instead
Public API,virtual vector<pair<QString,int>> validKeywords() const,N,Returns complex pair vector; rarely needed in Python
Python Protocol,__repr__,isis_pybind.PvlTranslationTable.__repr__,Y,PvlTranslationTable()
