Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
UniversalGroundMap,Geometry,isis/src/base/objs/UniversalGroundMap/UniversalGroundMap.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,UniversalGroundMap,isis_pybind.UniversalGroundMap,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Construction/Enum,"CameraPriority enum (CameraFirst, ProjectionFirst)",isis_pybind.UniversalGroundMap.CameraPriority,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Construction/Enum,UniversalGroundMap(),isis_pybind.UniversalGroundMap(),Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,void SetBand(const int band),isis_pybind.UniversalGroundMap.set_band,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,"bool SetUniversalGround(double lat, double lon)",isis_pybind.UniversalGroundMap.set_universal_ground,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,"bool SetUnboundGround(Latitude lat, Longitude lon)",isis_pybind.UniversalGroundMap.set_unbound_ground,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,"bool SetGround(Latitude lat, Longitude lon)",isis_pybind.UniversalGroundMap.set_ground,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,bool SetGround(const SurfacePoint &),isis_pybind.UniversalGroundMap.set_ground,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,double Sample() const,isis_pybind.UniversalGroundMap.sample,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,double Line() const,isis_pybind.UniversalGroundMap.line,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Mutation/Configuration,"bool SetImage(double sample, double line)",isis_pybind.UniversalGroundMap.set_image,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,double UniversalLatitude() const,isis_pybind.UniversalGroundMap.universal_latitude,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,double UniversalLongitude() const,isis_pybind.UniversalGroundMap.universal_longitude,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,double Resolution() const,isis_pybind.UniversalGroundMap.resolution,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,"bool GroundRange(Cube *cube, Latitude &minLat, Latitude &maxLat, Longitude &minLon, Longitude &maxLon, bool allowEstimation = true)",isis_pybind.UniversalGroundMap.ground_range,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Query,bool HasProjection() { return p_projection != 0,isis_pybind.UniversalGroundMap.has_projection,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Query,bool HasCamera() { return p_camera != 0,isis_pybind.UniversalGroundMap.has_camera,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,Isis::Projection *Projection() const { return p_projection,isis_pybind.UniversalGroundMap.projection,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
Public API,Isis::Camera *Camera() const { return p_camera,isis_pybind.UniversalGroundMap.camera,Y,2026-04-11 台账同步；已在 bind_base_ground_map.cpp 暴露
