Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
BundleResults,Control Networks,isis/src/control/objs/BundleResults/BundleResults.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,Qt 类型/信号槽较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,BundleResults,isis_pybind.BundleResults,N,Python class symbol not found in current binding files; Qt 类型/信号槽较多
Construction/Enum,BundleResults(),isis_pybind.BundleResults(),N,Qt 类型/信号槽较多
Read/Write IO,void readBundleResults(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_bundle_results,N,Qt 类型/信号槽较多
Read/Write IO,void readCorrelationMatrix(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_correlation_matrix,N,Qt 类型/信号槽较多
Read/Write IO,void readGenStatsValues(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_gen_stats_values,N,Qt 类型/信号槽较多
Read/Write IO,void readRms(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_rms,N,Qt 类型/信号槽较多
Read/Write IO,void readImageResidualsLists(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_image_residuals_lists,N,Qt 类型/信号槽较多
Read/Write IO,void readSigmasLists(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_sigmas_lists,N,Qt 类型/信号槽较多
Read/Write IO,"void readStatsToList(QList<Statistics> &list, QXmlStreamReader *xmlReader)",isis_pybind.BundleResults.read_stats_to_list,N,Qt 类型/信号槽较多
Read/Write IO,"void readStatsToVector(QVector<Statistics> &vec, QXmlStreamReader *xmlReader)",isis_pybind.BundleResults.read_stats_to_vector,N,Qt 类型/信号槽较多
Read/Write IO,void readMinMaxSigmas(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_min_max_sigmas,N,Qt 类型/信号槽较多
Read/Write IO,"void readSigma(Distance &dist, QString &pointId, QXmlStreamReader *xmlReader)",isis_pybind.BundleResults.read_sigma,N,Qt 类型/信号槽较多
Read/Write IO,void readMaxLikelihoodEstimation(QXmlStreamReader *xmlReader),isis_pybind.BundleResults.read_max_likelihood_estimation,N,Qt 类型/信号槽较多
Public API,void initialize(),isis_pybind.BundleResults.initialize,N,Qt 类型/信号槽较多
Public API,void resizeSigmaStatisticsVectors(int numberImages),isis_pybind.BundleResults.resize_sigma_statistics_vectors,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setRmsImageResidualLists(QList<Statistics> rmsImageLineResiduals, QList<Statistics> rmsImageSampleResiduals, QList<Statistics> rmsImageResiduals)",isis_pybind.BundleResults.set_rms_image_residual_lists,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setRmsImageResidualLists(QVector<Statistics> rmsImageLineResiduals, QVector<Statistics> rmsImageSampleResiduals, QVector<Statistics> rmsImageResiduals)",isis_pybind.BundleResults.set_rms_image_residual_lists,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setRmsLidarImageResidualLists(QList<Statistics> rmsLidarImageLineResiduals, QList<Statistics> rmsLidarImageSampleResiduals, QList<Statistics> rmsLidarImageResiduals)",isis_pybind.BundleResults.set_rms_lidar_image_residual_lists,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setSigmaCoord1Range(Distance minCoord1Dist, Distance maxCoord1Dist, QString minCoord1PointId, QString maxCoord1PointId)",isis_pybind.BundleResults.set_sigma_coord1_range,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setSigmaCoord2Range(Distance minCoord2Dist, Distance maxCoord2Dist, QString minCoord2PointId, QString maxCoord2PointId)",isis_pybind.BundleResults.set_sigma_coord2_range,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setSigmaCoord3Range(Distance minCoord3Dist, Distance maxCoord3Dist, QString minCoord3PointId, QString maxCoord3PointId)",isis_pybind.BundleResults.set_sigma_coord3_range,N,Qt 类型/信号槽较多
Mutation/Configuration,"void setRmsFromSigmaStatistics(double rmsFromSigmaCoord1Stats, double rmsFromSigmaCoord2Stats, double rmsFromSigmaCoord3Stats)",isis_pybind.BundleResults.set_rms_from_sigma_statistics,N,Qt 类型/信号槽较多
Public API,"void maximumLikelihoodSetUp( QList< QPair< MaximumLikelihoodWFunctions::Model, double > > modelsWithQuantiles)",isis_pybind.BundleResults.maximum_likelihood_set_up,N,Qt 类型/信号槽较多
Public API,void printMaximumLikelihoodTierInformation(),isis_pybind.BundleResults.print_maximum_likelihood_tier_information,N,Qt 类型/信号槽较多
Public API,void initializeResidualsProbabilityDistribution(unsigned int nodes = 20),isis_pybind.BundleResults.initialize_residuals_probability_distribution,N,Qt 类型/信号槽较多
Public API,void initializeProbabilityDistribution(unsigned int nodes = 20),isis_pybind.BundleResults.initialize_probability_distribution,N,Qt 类型/信号槽较多
Mutation/Configuration,void addResidualsProbabilityDistributionObservation(double obsValue),isis_pybind.BundleResults.add_residuals_probability_distribution_observation,N,Qt 类型/信号槽较多
Mutation/Configuration,void addProbabilityDistributionObservation(double obsValue),isis_pybind.BundleResults.add_probability_distribution_observation,N,Qt 类型/信号槽较多
Mutation/Configuration,"void addProbabilityDistributionObservation(double obsValue, bool residuals)",isis_pybind.BundleResults.add_probability_distribution_observation,N,Qt 类型/信号槽较多
Public API,void incrementMaximumLikelihoodModelIndex(),isis_pybind.BundleResults.increment_maximum_likelihood_model_index,N,Qt 类型/信号槽较多
Public API,void incrementFixedPoints(),isis_pybind.BundleResults.increment_fixed_points,N,Qt 类型/信号槽较多
Public API,int numberFixedPoints() const,isis_pybind.BundleResults.number_fixed_points,N,Qt 类型/信号槽较多
Public API,void incrementHeldImages(),isis_pybind.BundleResults.increment_held_images,N,Qt 类型/信号槽较多
Public API,int numberHeldImages() const,isis_pybind.BundleResults.number_held_images,N,Qt 类型/信号槽较多
Public API,void incrementIgnoredPoints(),isis_pybind.BundleResults.increment_ignored_points,N,Qt 类型/信号槽较多
Public API,int numberIgnoredPoints() const,isis_pybind.BundleResults.number_ignored_points,N,Qt 类型/信号槽较多
Public API,"#if 0 double computeRejectionLimit(ControlNet *p_Cnet, double outlierRejectionMultiplier, int numObservations)",isis_pybind.BundleResults.compute_rejection_limit,N,Qt 类型/信号槽较多
Mutation/Configuration,#endif void setRejectionLimit(double rejectionLimit),isis_pybind.BundleResults.set_rejection_limit,N,Qt 类型/信号槽较多
Public API,"#if 0 double computeResiduals( ControlNet *pCnet, std::vector< boost::numeric::ublas::bounded_vector< double, 3 > > pointWeights, std::vector< boost::numeric::ublas::bounded_vector< double, 3 > > pointCorrections, LinearAlgebra::Vector image_Corrections, std::vector< double > imageParameterWeights, int numImagePartials, int rank)",isis_pybind.BundleResults.compute_residuals,N,Qt 类型/信号槽较多
Mutation/Configuration,"#endif void setRmsXYResiduals(double rx, double ry, double rxy)",isis_pybind.BundleResults.set_rms_xy_residuals,N,Qt 类型/信号槽较多
Public API,#if 0 bool flagOutliers(ControlNet *pCnet),isis_pybind.BundleResults.flag_outliers,N,Qt 类型/信号槽较多
Mutation/Configuration,#endif void setNumberRejectedObservations(int numberObservations),isis_pybind.BundleResults.set_number_rejected_observations,N,Qt 类型/信号槽较多
Mutation/Configuration,void setNumberImageObservations(int numberObservations),isis_pybind.BundleResults.set_number_image_observations,N,Qt 类型/信号槽较多
